zipcode,centile,superzip,rank,city,state,adultpop,households,college,income,zip_code,latitude,longitude,city,state,county
10017,99.12652,1,150,New York,NY,14064,2742,73.99%,152.3851,961,18.413195,-66.168651,Bayamon,PR,Bayamon
60305,99.12067,1,151,River Forest,IL,7237,2948,69.70%,159.7299,962,18.437644,-66.140407,Catano,PR,Catano
10128,99.10585,1,152,New York,NY,46757,12049,73.83%,152.0177,963,18.443217,-66.139293,Catano,PR,Catano
6612,99.09166,1,153,Easton,CT,4939,2079,59.55%,176.5979,965,18.428784,-66.11539,Guaynabo,PR,Guaynabo
10527,99.09011,1,154,Granite Springs,NY,704,312,71.59%,155.4841,966,18.396815,-66.114889,Guaynabo,PR,Guaynabo
37350,99.08952,1,155,Lookout Mountain,TN,1408,606,71.16%,155.6815,968,18.410462,-66.060533,Guaynabo,PR,San Juan
94305,99.08792,1,156,Stanford,CA,4498,1300,94.49%,115.4192,969,18.362322,-66.113729,Guaynabo,PR,Guaynabo
7417,99.08479,1,157,Franklin Lakes,NJ,6885,2952,52.94%,186.8953,970,18.359143,-66.112295,Guaynabo,PR,Guaynabo
76092,99.07948,1,158,Southlake,TX,12412,5892,58.71%,176.8934,971,18.30942,-66.113606,Guaynabo,PR,Guaynabo
11765,99.07595,1,,Mill Neck,NY,480,187,52.08%,187.9767,975,18.410462,-66.060533,San Juan,PR,San Juan
12507,99.07578,1,,Barrytown,NY,170,11,68.82%,159.0996,976,18.338133,-65.989229,Trujillo Alto,PR,Trujillo Alto
7979,99.07565,1,,Pottersville,NJ,260,137,66.92%,162.3686,977,18.337004,-65.990099,Trujillo Alto,PR,Trujillo Alto
94941,99.06966,1,159,Mill Valley,CA,21599,7359,71.53%,154.0889,978,18.337004,-65.990099,Saint Just Contract,PR,Trujillo Alto
66209,99.06036,1,160,Leawood,KS,12276,5289,67.62%,160.5092,979,18.410462,-66.060533,Carolina,PR,San Juan
90266,99.05013,1,161,Manhattan Beach,CA,24974,8449,67.61%,160.4229,981,18.410462,-66.060533,Carolina,PR,San Juan
20124,99.04073,1,162,Clifton,VA,9298,4075,65.43%,162.8694,982,18.410462,-66.060533,Carolina,PR,San Juan
7620,99.03786,1,163,Alpine,NJ,1129,450,61.38%,169.7984,983,18.413452,-65.977659,Carolina,PR,Carolina
98222,99.03754,1,,Blakely Island,WA,33,9,81.82%,133.7204,984,18.393355,-65.972495,Carolina,PR,Carolina
7450,99.03304,1,164,Ridgewood,NJ,16407,6825,66.75%,159.3284,985,18.345741,-65.93888,Carolina,PR,Carolina
75093,99.02061,1,165,Plano,TX,28861,11991,64.33%,163.2552,986,18.393355,-65.972495,Carolina,PR,Carolina
94304,99.01231,1,166,Palo Alto,CA,1407,410,79.39%,136.9737,987,18.373466,-65.959932,Carolina,PR,Carolina
10014,99.0041,1,167,New York,NY,28445,4763,74.39%,145.5058,988,18.393355,-65.972495,Carolina,PR,Carolina
38139,98.9938,1,168,Germantown,TN,9077,4241,65.81%,160.1039,1001,42.140549,-72.788661,Agawam,MA,Hampden
18357,98.99128,1,,Skytop,PA,93,10,43.01%,199.1972,1002,42.367092,-72.464571,Amherst,MA,Hampshire
7760,98.98946,1,169,Rumson,NJ,6554,2560,58.85%,171.9023,1003,42.369562,-72.63599,Amherst,MA,Hampshire
48304,98.98427,1,170,Bloomfield Hills,MI,12380,4994,64.81%,161.5095,1004,42.384494,-72.513183,Amherst,MA,Hampshire
94549,98.97626,1,171,Lafayette,CA,16806,6806,66.64%,158.2915,1005,42.32916,-72.139465,Barre,MA,Worcester
2461,98.97039,1,172,Newton Highlands,MA,4538,1861,72.79%,146.6643,1007,42.280267,-72.402056,Belchertown,MA,Hampshire
22207,98.96333,1,173,Arlington,VA,21227,7606,70.52%,150.4577,1008,42.177833,-72.958359,Blandford,MA,Hampden
92091,98.95721,1,174,Rancho Santa Fe,CA,1044,430,70.59%,149.6836,1009,42.206092,-72.340486,Bondsville,MA,Hampden
21210,98.95469,1,175,Baltimore,MD,8128,2461,74.38%,142.9991,1010,42.108585,-72.20448,Brimfield,MA,Hampden
90743,98.95244,1,,Surfside,CA,109,44,66.97%,155.6959,1011,42.294259,-72.952776,Chester,MA,Hampden
7930,98.95096,1,176,Chester,NJ,5264,2157,61.21%,165.5382,1012,42.392274,-72.825607,Chesterfield,MA,Hampshire
8540,98.9418,1,177,Princeton,NJ,28123,10147,71.39%,147.7614,1013,42.161492,-72.667341,Chicopee,MA,Hampden
60035,98.92835,1,178,Highland Park,IL,20830,8676,64.02%,160.2503,1014,42.170731,-72.604842,Chicopee,MA,Hampden
92130,98.91756,1,179,San Diego,CA,18529,7503,72.96%,144.7709,1020,42.177492,-72.562563,Chicopee,MA,Hampden
6269,98.91236,1,,Storrs Mansfield,CT,403,38,84.86%,124.222,1021,42.170731,-72.604842,Chicopee,MA,Hampden
30326,98.91203,1,180,Atlanta,GA,838,177,76.37%,138.8305,1022,42.193392,-72.55436,Chicopee,MA,Hampden
91011,98.90812,1,181,La Canada Flintridge,CA,13382,5847,63.67%,160.3615,1026,42.428617,-72.909841,Cummington,MA,Hampshire
50323,98.9043,1,182,Urbandale,IA,561,255,54.72%,175.6865,1027,42.368303,-72.768839,Easthampton,MA,Hampshire
92014,98.90118,1,183,Del Mar,CA,10782,3875,71.40%,146.9154,1028,42.062009,-72.49874,East Longmeadow,MA,Hampden
1772,98.89675,1,184,Southborough,MA,5343,2322,64.48%,158.6694,1029,42.190904,-73.051661,East Otis,MA,Berkshire
